4.81:14.8682177815635,-14.63:11.0187612733919,-2.23:16.3919827964771,-5.675:14.9936444869151,-8.275:14.2397111979141,-1.855:15.2178833942175,1.485:16.6778228495209,-0.255:16.6051189396523,-6.065:15.4641771523738,6.41:15.8114483840033,-2.675:16.1142599892145,-7.64:15.8496182919337,-11.82:11.6678018495345,-1.415:17.4543053428087,1.19:16.8559752016903,-6.5:16.15704180845,0.83:16.7532414773977,-9.19:15.0742794189308,0.14:15.5589331253785,-11.315:14.9721666768708,-5.2:16.2794348796265,-3.455:15.8741291099701,-8.11:15.1511682717868,-3.51:16.1307129414667,-3.22:13.3847525191914,3.15:16.0273984164617,-7.695:14.0581639981898,-5.68:16.2406157518734,2.07:16.3864303617353,-7.385:12.1744311982121,-0.19:16.1778830506343,0.795:15.5715437577653,1.275:16.2843291234242,-0.3:16.2708327998293,-3.535:13.5254861280473,-1.365:16.1824526880198,-4.75:14.7555921602625,-5.215:13.9906674251088,2.265:15.9127236826384,3.5:15.2131522045893,3.945:16.652086205638,0.305:14.9325809892329,-4.87:15.4775030285896,-9.965:12.7614174369464,-4.2:14.197182819137,2.145:14.8058763671726,0.57:14.9534310444125,-4.47:15.3450024437926,1.19:16.4512583105366,-8.21:14.6473854322196,-7.705:13.7912281904115,-0.215:15.3521586430052,1.48:14.8347430041777,0.04:15.8312475819185,-6.575:13.8605329984095,-9.52:13.5509999631024,-0.975:15.2100090401025,0.4:15.2170956493018,5.595:15.6569784760662,-8.89:14.3620298008325,-12.12:13.2934419922005,-8.05:15.0737354361817,8.635:15.374386979649,-5.745:15.5029021476625,-4.905:14.6101326140456,-1.14:15.1848740528198,5:15.560526983364,3.58:15.0799071615179,-0.22:17.3020692404117,5.545:16.1514078333748,-9.075:15.4272283641618,6.62:15.0188414999293,-4.585:15.3565222299842,-4.98:14.3899131338587,-3.31:15.1236205982562,-9.61:12.692040813045,0.135:16.4267091956971,-4:15.3648950533351,4.505:15.6313778983172,3.15:16.2815079154236,-1.545:14.3609879534801,-10.825:14.2071944802625,4.935:16.0860428633023,-2.09:14.7350568373522,0.325:16.7002806862639,7.505:15.724502376864,-9.825:14.6708682428819,-3.76:14.6048758981376,-5.345:14.4328089781581,-2.335:17.8539288393339,-5.02:15.7486380363509,-1.87:14.5087249612087,-1.88:14.8282028580675,-1.38:15.2897220380228,-3.77:15.4647049761707,0.26:15.3770088118593,4.15:16.0049211182061,-6.285:15.3890797320698,0.535:17.0214210628843,-7.4:14.2393820090621,
5.705:15.4187540028369,-12.645:12.1695922281726,-4.01:15.9649585029213,-6.155:15.3561380236048,-7.665:14.9446570720107,-0.87:15.4493721555279,0.74:17.4221812641242,1.055:16.7783185987154,-7.595:15.0363218574224,7.93:15.3585513639796,-1.625:15.9243327960703,-6.71:16.0843371016651,-10.41:11.5209331219307,0.235:16.3361493320795,1.005:16.9235036266135,-4.89:17.0882386453373,0.46:16.5833772193724,-3.465:15.7063291382805,0.69:15.5336376937278,-9.205:14.8156327910758,-3.44:16.6660253209936,-1.335:16.0316179782329,-4.71:15.6683087791886,-1.77:16.7175686031193,-0.195:13.9124755166002,-2.65:16.3317941451636,-7.31:13.9141618504314,-5.74:16.4235318978592,-2.6:16.7877931843349,-6.075:12.5661997039678,-3.755:15.5924653278434,1.11:15.0219139925643,-1.93:15.1504158358772,1.14:16.437165205716,-2.675:13.6150422327659,0.345:15.7154692898431,-2.375:14.2339163619856,-5.03:14.862674725634,3.11:15.5944829988044,2.735:14.3966931967032,3.365:16.4305135342752,-0.155:15.7242161966821,-2.11:14.622855398314,-8.925:15.0352710318105,-3.41:14.3021641719007,0.99:15.3944762820955,0.995:15.0031654993205,0.1:15.8650559406515,3.59:15.8566043023089,-10.15:13.4457242274263,-4.585:15.6567166098132,3.545:15.8590029636166,3.285:15.4723551859437,-0.44:15.4679151794933,-5.915:15.0740762569386,-8.455:13.846226020111,-5.18:15.7088382765881,-0.89:16.0436249021223,4.315:15.153078070148,-2.145:15.2234679032079,-12.775:12.7163035116342,-10.345:13.2365393891304,6.455:16.13530213538,-2.555:16.2482914486416,-6.735:14.1373538896075,2.18:15.0242337574999,5.18:15.4031685052135,-1.2:15.5595629758679,-0.845:16.6853521089607,7.235:15.6977633757169,-4.515:15.7216339799653,8.96:14.3603064034163,-6.02:15.0820953451435,-5.16:15.0374332916226,-5.95:15.0132441530803,-8.95:13.7214248531266,-0.575:16.1355004570667,-2.95:15.3071061928766,6.395:14.9909631111547,2.11:16.7376193050266,0.825:14.5335603002155,-9.55:13.949103913872,5.14:16.5051628286424,-3.525:15.1815471872929,0.02:16.6132356872465,8.845:14.7475752244225,-12.145:13.7435066485959,-3.125:14.0719357232756,-3.92:15.2300229809413,-4.67:17.1578291167618,-4.795:14.0528635871839,-2.83:15.0682148909551,-5.61:13.8804863027201,-5.525:15.5128777149825,-2.185:14.8307375069482,0.49:14.7939142893286,0.795:16.5527331580014,-6.355:14.2337266729413,-0.195:15.7234530240657,-9.47:13.6355821291209,
3.775:14.9376830532717,-13.635:11.1158344266186,-4.68:16.1176176899689,-4.32:16.3495443361581,-8.52:14.8879011280973,1.39:14.8464776967468,-0.385:15.9995867134123,-1.525:16.9923328298383,-6.225:14.9185915890207,6.665:16.6551125784247,-3.305:15.1677940057215,-8.865:14.9039181090074,-9.58:13.91738481181,-4.265:15.9679295777505,1.99:17.282068741907,-5.425:15.4163671142069,-2.8:17.2244012958361,-4.45:15.1124948304375,0.505:15.4311365427178,-10.555:14.7796134929165,-3.22:15.4486763187012,-2.435:15.8655530946765,-4.48:17.1388330991348,-1.58:15.99979999875,-1.21:14.9688309496767,-1.43:15.1355574723893,-7.035:14.2784374145072,-7.03:15.9896560313222,2.28:16.5457426548342,-3.775:13.0370385824389,-2.74:14.8287693353157,2.195:15.7148647782919,0.83:16.2262472556041,-2.49:16.2357599144604,-3.42:12.143870882054,-1.01:15.3792034904282,-2.245:15.3926922596406,-7.715:13.6063872868591,0.925:16.0209043128033,2.775:15.09451473218,7.57:16.4488631826032,-3.25:15.6364158297226,-4.185:15.499057229393,-6.49:15.7464249910893,-5.325:14.0978500133886,0.91:15.8095509107628,0.555:14.8659670052103,-2.84:16.2115514371697,-1.775:14.9968121612561,-7.425:14.5149707199153,-4.155:15.5345091650815,2.845:16.3043238130258,3.555:15.0597800448745,-0.645:14.9103646836689,-6.05:15.3823762793659,-11.01:12.8339354837088,-2.08:15.2162281791514,0.91:15.5971760264479,6.97:14.5787207943633,-2.615:14.0020275317541,-14.005:11.1285657207027,-10.13:13.7551117770813,5.785:15.8596587289891,-4.415:15.277852434161,-7.28:13.607409746164,2.86:14.4696371758244,4.355:14.6522685956817,-2.5:15.754047099079,-0.89:18.0927582197961,8.295:15.5986529867165,-5.84:16.3010551805704,7.125:14.9019923164656,-7.645:13.763319911998,-2.06:15.0541157163083,-5.23:15.7339473750232,-8.2:14.2681463407129,-0.485:15.6025566815186,-2.945:15.4205050176705,6.6:15.4450639364167,4.64:16.0299844042345,-0.405:14.8657652006212,-7.96:14.0697690101864,2.34:16.5730021420381,-3.015:15.7071568082833,-1.27:16.3498348615514,9.12:14.9751661092624,-10.73:13.3621517728246,-3.64:14.6942301601683,-4.59:15.0745447692459,-4.425:16.9541845867031,-5.095:14.8676149734919,-4.365:16.3447782181344,-5.42:14.5569090125617,-2.31:14.1701764279772,-3.27:14.6402561453002,1.655:14.4528881196804,1.97:15.9977842215727,-5.75:14.9675482294195,-1.57:14.9831605477616,-9.18:13.5139779487759,
2.88:15.0935615412665,-14.08:11.5266473876839,-5.145:15.4778543409608,-7.535:15.4793015023288,-7.21:14.2364286251855,-0.87:14.7656053042197,-4.67:16.4954872616725,0.75:17.3798014948388,-6.03:16.1198356071022,7.74:16.0761438162266,-4.735:15.6807134722882,-9.19:14.1726461890502,-8.335:13.9528769434837,-2.44:16.9713405481123,3.075:16.1483551793983,-3.22:16.0885549382162,3.11:16.1405669045421,-3.585:15.8481158186076,-0.395:15.0949983438224,-10.765:13.5609651205215,-5.505:15.0771341772898,-0.325:16.2440566054173,-9.055:15.2283280434853,-3.62:16.2820637512571,-3.435:14.0881430642935,-2.65:16.1538695054776,-9.61:13.0076093114761,-8.5:15.4990322278522,2.14:15.9094437363473,-6.585:14.2717474403102,-5.135:13.4935827340258,-0.89:16.2557036144241,-1.645:16.0586106186058,-3.2:16.6327989226107,-0.495:12.8763339114827,-2.17:15.9345881653716,-4.47:15.4573315937778,-4.855:15.2155832947672,1.655:16.0145550984097,1.365:15.2309479350433,5.995:15.6100920881332,-3.93:15.9807728223638,-5.36:15.829731520149,-6.95:15.3729470174069,-3.295:14.2045054472164,-1.495:15.8981123093278,1.975:15.894161663957,-0.195:15.4316873672324,-0.3:15.3140458403389,-6.155:15.4301968555168,-3.705:16.9209330416499,1.5:15.9624559513879,2.4:15.1930905348451,-2.085:15.2219504335023,-12.925:12.8631012978986,-9.055:12.8258323316657,-4.45:14.2943170525912,-2.81:14.0026390369816,6.84:16.033227996882,-3.78:14.5172862477806,-7.625:14.4199297848499,-6.84:14.5084251385186,7.875:15.4906221631024,-7.03:14.7498847453124,-9.41:12.7063724170197,1.325:15.3635729893798,3.995:15.265483123701,-2.25:15.5838859082066,-3.1:17.3879268459469,8.375:15.1332209063372,-8.645:14.5746003375736,8.09:13.9435253791859,-8.365:13.3739214518405,-4.395:15.0009658022409,-5.665:15.3838478606622,-7.77:13.0762035774914,2.37:16.0690105482572,-4.65:15.3527684799843,8.25:14.065116423265,4.345:16.0964584614132,0.89:14.8070219828296,-9.425:14.3883416348098,1.84:16.1689331744553,-6.385:14.8187980281803,-3.79:15.8841398885807,5.88:15.3725599689837,-10.865:13.382704323118,-4.655:13.1808943171547,-6.97:14.4291060014126,-6.06:16.7372757639946,-2.88:15.5262873862363,-4.455:15.6578406876555,-4.255:13.9899955325225,-4.735:14.11682595345,-6.76:14.7862233176697,1.055:15.5721538330444,3.16:15.062350414195,-4.865:14.895864358942,-4.965:15.8165664731635,-10.77:13.7940965633854,
-4.035:15.0772601954069,-14.185:10.755034867447,-4.465:15.5547026651106,-5.5:14.8811961884789,-9.06:14.7270635226443,-0.455:14.3153056202094,-4.885:16.5381914065595,3.365:16.6742848422354,-5.78:15.4331331880471,6.785:15.3267339965173,-5.66:15.8771659939676,-8.435:14.7944508177898,-8.08:14.3242312184633,-2.39:16.9802208466203,-0.445:17.4758969726878,-3.75:16.7492537147182,5.39:16.1606899605184,-4.255:15.965274034604,-3.31:14.0133472090004,-12.595:13.436181563227,-5.41:14.8402122626329,0.53:16.6483963191654,-9.14:14.6181530981174,-6.51:15.2092044499375,-2.15:14.4172639567985,-8.725:14.1925816890374,-6.33:16.2760898252621,-8.03:15.8464223091523,-0.35:15.6466450077964,-8.675:14.146002085395,-2.15:15.2665483983774,5.51:16.0937845145261,-0.525:15.3274060101506,4.195:16.0927615715886,-3.245:12.8780811847107,-4.665:15.2395136077238,-6.25:16.0195973732176,-8.8:13.5029626378806,-0.575:14.4067475510609,-0.405:15.8972002251969,3.695:16.0100585570447,-3.605:14.8060452180858,-4.17:15.8924856457384,-10.45:13.9056643135091,-6.515:14.8215982606465,-1.975:16.364118521937,-1.425:15.324306672734,-1.33:16.5813479548558,-0.455:14.6570111209619,-3.31:15.7475045642159,-3.55:16.6224998120018,-4.28:15.5242262287046,1.495:15.9580692754481,-1.855:16.2140055199201,-11.115:13.309461859895,-9.075:12.9239844862179,-3.72:14.1308739998628,-4.765:14.0815402211548,6.055:15.5271367289658,-3.5:14.813507349713,-12.14:12.7922007488938,-7.875:15.2174036878832,6.105:16.092046948726,-2.04:15.7698573233876,-7.985:13.4556595899272,-0.97:15.1986545457156,4.985:15.3722078765544,-3.79:15.7412165984717,-1.37:15.040714743655,6.145:16.1976533794251,-9.975:16.3414924349033,8.385:15.8504503090606,-6.79:13.2735036821481,-1.745:15.3104531285002,-7.72:15.2568541973763,-8.055:14.3799156812549,-1:14.0488433687617,-3.84:15.8317529035796,7.17:15.025348581647,4:15.1052970841357,-0.845:15.3144041673191,-8.68:14.3960966932012,3.4:16.8422088812602,-6.87:15.0427091974817,0.58:16.8589323505375,7.975:14.9964787533607,-7.62:14.8248305217969,-7.75:12.1978481708865,-1.88:15.8257890798532,-1.955:16.3126630260053,-3.43:15.1071208375388,-2.5:15.679604586851,-6.73:15.272102016422,-5.215:13.4636092857747,-5.8:13.9574352944945,-2.895:15.6688855698164,0.535:16.5126852752664,-4:16.8937858397696,-3.35:16.8260958038399,-7.025:15.4118258165605,
-0.31:15.2716698497578,-10.305:13.4205802780655,0.29:15.2822086100145,-5.99:15.3479607765983,-9.415:14.1454153350123,-1.91:15.1228932417048,-4.12:16.163093763262,-2.165:16.2913404911935,-4.345:15.9566906030041,7.63:15.9569138620223,-1.77:15.7957937439054,-6.54:15.466363502776,-4.2:16.3401346383682,-5.035:16.759885888633,0.84:17.4517735488402,-1.74:17.365552107549,1.655:16.3004900233091,-4.34:15.8696061702867,-5.54:13.7258296652698,-11.62:12.8978913005189,-5.38:15.2877598097301,-0.605:16.7313769606688,-8.08:16.2284811365697,-2.52:15.6588505325263,-1.19:15.0716256588332,-7.18:15.4647211420058,-7.895:13.974404280684,-8.03:15.9752652560137,3.66:17.073792783093,-8.605:13.2128337233161,-0.39:15.292086188614,4.09:16.819093316823,-1.305:15.9787976706635,3.015:16.6094784686335,0.11:13.505106441639,-6.1:14.262187770465,-6.99:14.4117972508636,-5.935:15.5354682903349,0.515:14.5893719878547,-1.68:15.8668711471418,7.335:15.5680048496909,-0.065:15.62916424509,-1.9:16.3835283135227,-11.59:13.1522583612093,-4.53:14.3850304135931,0.43:16.1766838381666,-3.63:15.0110992269054,0.565:16.102042572295,-0.8:14.8885862324131,-6.965:14.52975481555,-3.12:15.7367595139533,-2.76:16.6725043109906,-0.7:15.9163438012629,-3.665:15.9324441000118,-12.515:12.8972778135543,-5.645:14.173530788057,-3.455:14.5488135255079,-6.655:14.1193475415828,6.275:15.2715216989009,-3.175:14.4060534151446,-11.275:12.795677981256,-8.47:14.562935830388,8.96:15.7736615913998,-2.81:15.7975915885935,-2.5:15.1429851746609,0.39:15.2541109213222,6.99:14.4454110360349,-3.955:15.551301392488,-1.66:16.8185730667022,8.3:14.7874947168207,-11.415:14.8567417356566,6.38:14.6473751914806,-7.21:12.4477267000846,-3.245:14.4801579756576,-5.57:14.5765256491388,-4.52:14.5838815135066,-3.345:13.8118056386556,-1.79:15.756773146809,6.865:14.4082190086076,3.57:14.8722930310023,-1.635:15.1555856039943,-11.06:13.9386656463235,0.19:16.0266621602878,-8.1:14.675489770362,-4.905:15.8276964527375,7.54:14.7233963473106,-9.79:14.2981082664806,-6.2:12.7800625976558,-0.33:16.7639822238035,-4.775:16.5319198824577,-2.265:14.4601097851987,-6.095:15.3435971988318,-9.795:14.6605925869318,-6.865:13.8299231740455,-6.415:14.7432281064901,-3.485:14.7556692494783,2.75:16.400533527907,-5.245:14.3650609118096,-2.195:16.0775301274792,-11.745:13.8538794205811,
-0.335:15.3402338639279,-10.565:12.7143924353466,-3.185:16.1530422831119,-2.22:16.8959048292774,-8.525:14.5092858197776,0.33:15.1582024000209,-0.665:16.3484792870774,-7.28:16.3291640937312,-4.79:15.7948061083383,7.845:13.9065083683864,-7.95:14.3599268800367,-8.86:14.8936362249116,-2.68:15.578754764101,-5.89:15.8391256071792,1.465:16.7954986529129,-2.31:15.9403230833004,3.53:15.4272194513464,-4.195:15.0491519694633,-6.14:13.98,-13.16:13.4589895608846,-5.95:15.1296893557006,-0.605:16.1508196386437,-7.36:16.4526715155928,0.1:15.0336289697465,-0.06:14.5738258532206,-5.34:15.7944420604211,-7.785:14.3369723093825,-9.405:14.6479000201394,0.735:16.763793574248,-9.57:12.7234075624418,-1.38:14.5239664004018,6.055:16.6892772461842,-3.885:16.3248820822694,1.1:17.1251277367499,-4.135:13.9748622533462,-6.11:13.4509442047761,-8.475:13.0885207338339,-6.205:15.2473924000139,2.22:15.1099834546567,-0.815:15.1281451275429,6.645:16.097794103541,-1.395:15.2200188896072,-7.14:16.0552296775848,-12.215:13.302961136529,-4.815:15.5158233748648,-1.795:15.6212347463317,-2.23:14.644012428293,-1.795:16.5097842202737,1.09:15.5981377093549,-3.7:15.6476835346322,-0.82:16.5120440890884,-6.825:14.5283989138514,4.16:15.5927675542221,-3.34:15.4620309144692,-15.425:12.0014322061994,-1.9:14.5103411400284,0.02:14.2481437387472,-5.5:14.4889613154291,4.79:15.8118910949956,1.67:14.4451064378218,-10.695:13.594924604425,-8.75:14.5391712280996,8.955:14.8796160904776,-1.895:15.1853210371069,-5.055:15.5647671039434,-2.82:15.8293272124876,5.27:14.7660793713159,-4.76:15.9336875832307,-3.64:15.8905758234244,6.64:15.4651349816288,-8.325:16.9852693531778,6.875:14.7884879213529,-3.135:13.8534030115347,-0.745:15.0386161264925,-4.055:14.9683658092659,-3.68:14.0832382639789,-3.29:14.7575709383353,-4.675:16.0396189169194,7.385:14.4435720997266,1.085:16.1154514364321,2.165:15.1590822611397,-11.39:12.8809122347759,1.55:16.8913439370584,-0.915:15.7853658494189,-4.615:15.3077357894628,7.39:14.8723871654822,-9.39:13.2139282577135,-6.91:12.0636603068886,-2.195:15.6063120243061,-3.3:16.097515336225,-3.99:14.5849202946057,-4.465:15.7451190849736,-7.435:15.0574159469678,-3.65:14.5573864412538,-6.655:12.0060807510195,-2.915:15.2855413708511,-0.23:16.9152918981613,-9.895:12.5141509899793,-4.555:14.9257152257438,-9.96:15.4989806116402,
-0.41:16.082036562575,-9.745:12.6601727871305,-1.385:16.184151970369,-3.75:15.3732722606477,-6.565:14.9861861392417,-1.155:15.9301906768249,-5:14.9512541279988,-6.405:17.022073169858,-4.175:15.4904607742959,8.185:15.6121995567569,-10.66:12.9152777747906,-6.04:16.6924653661465,-1.51:14.6962546249036,-8.75:15.630658975232,0.125:16.9861524483916,-0.005:16.7452971009773,2.425:15.4400250971299,-6.08:15.7766789914735,-4.96:14.5488281315026,-12.3:12.9930750786717,-3.665:15.2925725435585,-0.9:16.0903697906543,-7.375:16.4004382563394,-1.59:16.0618149659371,-3.26:13.8207235700596,-3.9:16.7687208814507,-9.54:12.9949374758019,-7.06:15.2097468749483,0.545:16.4136520920848,-10.23:12.6904334047344,3.2:16.8008928334181,2.915:16.4142552374453,-7.805:16.2156398270312,2.195:16.5579882534081,-5.805:13.5825982418682,-6.56:14.9149723432529,-8.255:14.5478512159013,-4.3:15.330688177639,-0.245:14.7185248921215,-1.01:14.4727295283233,2.93:16.4290930973076,-1.365:15.0592753809737,-3.215:17.3763855562657,-11.52:13.752076206886,-6.345:15.0338276895806,-1.37:15.6991432887276,-5.39:15.8955308184408,-4.89:16.1770794644769,0.415:15.7055014246601,-3.735:15.0384432372503,-2.06:16.0635114467541,-4.8:15.2272781546802,1.88:15.8381059473663,-5.385:14.7396327973257,-12.79:14.2848136144648,-2.69:15.1080740003483,-1.615:14.2016469115381,-8.005:12.6449584815451,5.38:15.2501016390056,1.44:15.1342789719233,-8.155:14.440255364778,-10.8:12.0341181646185,7.185:16.3211756623106,0.635:16.8982772790601,1.105:17.1080090893125,-1.2:17.1292148097921,4.755:15.2454903168117,-5.925:14.9408625922334,-4.45:15.5909428836103,8.135:14.9012340093027,-6.88:16.4157119857775,8.805:13.8103937308101,-1.4:14.7,-0.115:16.3408009289631,-3.01:15.9411386042528,-1.25:14.8632937130368,-1.405:15.1746820395025,-4.38:15.8052396375379,6.37:13.906225224697,-0.44:16.543772242146,0.735:14.4098846282682,-11.04:14.8070388667012,2.34:16.2721971472816,-3.3:16.5553616692599,-5.265:14.7120622279815,7.465:15.785714269554,-10.965:13.0737819700345,-5.815:12.4398864544657,-1.205:15.2808041345997,-1.755:17.2801902477953,-2.005:15.1596495671899,-6.375:15.4672032054926,-7.845:14.7414712630728,-4.925:15.3009599372066,-10.77:14.0458926380633,-1.935:16.3423001747,-3.265:15.6430423831172,-6.39:14.8134364682878,-4.875:14.4730568643946,-11.73:14.5511889548586,
-1.225:15.4810973448267,-7.095:14.2504727991741,-2.48:15.3990129553813,-6.955:15.3994472303391,-10.295:13.664844492346,-0.855:15.2467693299269,-2.55:15.8854493169063,-7.615:16.9957869779543,-2.59:17.1735814552469,6.085:15.7288834632341,-10.765:13.3150206533824,-7.675:15.0674939853978,-1.11:15.4339852274129,-7.165:16.3977978704459,1.225:16.4357651175721,5.945:14.6718088523536,2.57:15.4504077616094,-4.56:15.1372520623791,-3.02:15.8996729526113,-14.385:12.4284663172895,-5.33:15.020356187521,-1.05:16.4786983709272,-8.605:16.4590089312814,0.155:15.5730849544976,-7.805:13.7621573526828,-6.685:15.07434161083,-7.325:14.154129256157,-8.675:14.7363284097498,-1.4:16.8419120054702,-10.31:14.1178574861769,-0.38:15.4358543657292,2.89:16.1563578816514,-11.635:15.6742392159875,-0.32:17.5022170024257,-5.265:13.4333456368844,-6.725:14.6751277677573,-4.85:14.9367834556172,-4.625:15.0606897252417,1.475:14.6761498697717,-0.585:13.9213065119622,5.2:16.7134676234467,-2.98:14.7190217066217,-2.025:17.918269308167,-10.65:13.8234402375096,-6.405:14.6741601122517,-1.84:15.0367682698112,-5.095:14.3037049396302,-4.32:16.6098645388817,-0.59:15.2319368433565,-4.195:14.8272376051643,-2.28:17.0182725327808,-4.575:13.845373776103,1.655:15.048121975848,-3.455:15.4689358069649,-13.9:12.8432861838394,2.3:15.9489811586822,-0.245:15.0178219126476,-8.245:13.9044947768698,4.73:15.7517332379646,1.32:13.7683550215703,-8.45:14.317384537687,-11.86:11.3908033079322,7.145:15.7112690448608,-0.715:15.9769764035627,-0.29:17.3451981827825,-5.635:15.8903044338364,5.185:15.6974767080573,-6.35:15.025561553566,-3.885:16.1660686315505,7.61:15.8296525546204,-4.73:16.7740007153929,8.56:14.2100809286928,-2.53:14.7630992681076,0.995:15.689326786067,-3.67:14.5103790439809,-1.055:13.9370719665215,-1.28:14.9843785323249,-4.205:15.3565287418739,6.64:13.9391678374285,0.285:15.4891502349225,1.665:15.5641503141032,-7.945:15.1086721785867,-2.395:16.8392094529405,-2.92:16.3350420874879,-6.645:15.8536738644391,7.7:16.1021737662963,-9.405:13.9165719557655,-4.64:13.2469015245075,-1.4:15.2328592194637,-0.835:16.4376937250942,-1.95:15.9005503049423,-8.145:14.3726815521669,-8.545:14.4418826681288,-3.39:15.0205825452943,-9.37:14.2679045413123,-1.985:15.520463105204,-5.015:15.3331267196225,-9.025:11.9517519636244,-4.79:15.7358158352213,-8.98:14.709167209601,
-1.025:16.2368215793609,-10.84:11.9052257433448,-1.135:14.9715321527224,-7.41:15.0496478364113,-6.25:15.2786615905975,-5.065:15.8515227975107,-1.515:15.7117718606146,-7.14:16.6192779626553,-3.55:16.2827362565387,6.155:15.3492988439212,-9.215:13.3809108434366,-10.675:13.9276478631533,-1.965:15.8054982521906,-8.04:16.4209743925262,0.925:16.4675248595531,3.255:15.4499182845735,-5.6:16.4380655796234,-5.625:15.5130388705759,-5.68:14.407900610429,-9.515:13.675882969666,-4.04:15.7945686867353,-2.245:16.0129627177484,-6.98:16.7734790666695,0.14:15.9928233905086,-8.1:13.2374468837461,-7.885:16.2810249984453,-6.76:14.1096562679606,-11.545:13.2294359290183,-5.63:15.1067236686186,-6.985:15.1371983867557,0.075:16.0617363631707,2.005:16.5110561442931,-10.375:16.0079472450405,2.765:16.4474853701105,-7.41:13.4588966858357,-3.71:14.2466101231135,-4.53:15.9320149384816,-5.84:15.0493986590827,-1.27:15.1508118594351,-1.17:15.2181174919896,7.525:15.6779901454236,-4.46:13.1224387977235,0.905:18.5554836908123,-8.25:14.2378895908066,-7.04:13.959885386349,0.225:15.374796746624,-6.145:15.1044356068011,-4.92:15.2670756859328,-2.415:15.4425637444046,-5.965:14.955727163866,0.715:17.295195142004,-2.945:13.8257721303369,0.71:15.0471226485332,-2.78:15.714693760936,-13.225:13.1215233490628,3.57:14.813004421791,0.43:14.91258193607,-10.79:12.3087732938746,6.16:16.1979751821022,2.485:15.5219127365154,-6.29:15.1534121570028,-9.255:13.0866334479117,8.88:15.6966748071049,0.23:16.6152670757951,-4.73:16.2695144365159,-6.49:14.7979694553003,5.205:15.5365045940199,-7.445:14.2571727561954,-4.925:15.3101069558642,7.25:15.3224508483467,-5.26:16.062453112772,8.93:13.9569015186036,-2.71:14.9059015158426,1.195:16.3758045603873,-1.02:15.9100471400936,-3.525:14.6191441267948,-1.995:14.5208462218977,-9.8:15.1532174801261,5.915:14.7833614242499,0.64:15.5335250345825,2.925:14.5426742726364,-7.645:14.6860129034398,-1.29:16.4455434692807,-0.54:16.0660636124721,-6.245:15.8166044080264,6.565:15.7478816035681,-8.3:14.890936840911,-3.55:14.099911347239,-0.415:15.6742711154299,-2.795:17.165750056435,-2.055:15.2856787549654,-3.785:15.9338876298284,-12.03:13.2207828815089,-2.62:15.9726516270781,-10.8:14.2586815659794,-1.73:15.6108007481999,-2.13:16.0216447345458,-7.445:13.811479826579,-3.35:14.6931106304962,-9.705:15.4291274866727,
-1.94:14.4950474300707,-9.49:12.2306949925178,-3.51:15.2433559297157,-4.665:15.1740823445769,-7.525:14.6372598186956,-3.965:15.3343984231531,-5.155:14.341930658039,-6.86:18.0718123053555,2.41:16.6673903176232,7.69:15.3399445892089,-10.91:12.6819517425355,-8.735:14.5366700107005,-0.16:16.0522397191171,-5.595:17.4559724736263,0.215:15.68753565733,0.485:15.5778616953676,-9.705:14.5264577581735,-4.01:14.1067324352594,-1.475:14.2263619734632,-8.765:13.9635158538242,-4.325:15.5659684889826,-2.885:15.9179701909509,-2.695:16.7207049791568,-1.725:15.8495859567372,-7.195:13.5505341223141,-5.435:14.6415769300988,-5.855:14.0514759011287,-10.81:14.0692537115513,-6.975:16.0319797592188,-6.7:16.8834238233837,0.275:14.727504031573,0.485:16.5227048330472,-11.01:16.6135456781507,0.11:16.5577142142266,-8.285:12.696604861143,-6.23:13.7421650404876,-3.785:15.2865553673808,-5.605:14.9806199804948,-0.4:15.5193427695892,-1.615:13.860258835967,7.025:14.9724538736975,-2.88:14.6398633873407,0.15:17.5407382968905,-9.8:13.6919684486928,-7.43:13.9206716791971,-1.225:16.21710131312,-7.48:14.3735729726467,-4.765:16.380469315621,-0.28:15.9837917904357,-8.565:14.0223312968992,3.73:16.3011379970847,-0.515:14.4256637628915,0.95:15.033878408448,-3.76:14.4924946092797,-12.98:11.9419261427962,2.66:15.1902732035997,0.625:14.9487248620075,-6.295:13.3991781464387,6.83:15.2361773421026,0.475:14.390252777488,-8.095:14.9517883545748,-6.96:14.7457926202697,7.105:15.4393644623087,2.26:15.5158757406728,-1.315:16.6383825836528,-7.525:14.8677293155344,5.47:15.7448118439059,-5.905:16.0042486546542,-6.55:14.8127478882211,7.215:15.4999604838206,-4.725:16.3401155136676,8.415:14.9587023167118,-2.085:15.4051217132485,-2.34:16.8375889010274,-2.805:15.2314469109143,-3.685:14.6750051107316,-0.74:15.1944858419099,-8.74:15.4800645993484,7.36:14.7003537372405,2.57:14.7270193861487,-0.175:13.8879219107828,-6.42:15.5403860955898,-2.565:16.1051474690547,-5.24:15.2974638420883,-6.82:14.9545177120494,6.685:16.0874415305853,-9.355:13.354736051304,-3.235:13.8372603863626,-6.515:15.1555196215768,-1.895:16.6091533498851,-5.33:14.219743316952,-6.4:15.6945850534508,-10.805:15.2327599272095,-3.81:14.360149720668,-11.07:13.1162151552954,-2.53:15.8823518409586,-5.135:14.4408024361529,-9.175:13.4500697024216,-1.66:14.9534076383947,-4.4:15.8265599547091,
